gnd,pctile,year,le_raceadj
F,50,2010,87.07
F,50,2011,86.81
F,50,2012,86.62
F,50,2013,85.93
F,50,2014,87.16
F,51,2001,84.42
F,51,2002,85.56
F,51,2003,84.86
F,51,2004,84.72
F,51,2005,84.40
F,51,2006,85.61
F,51,2007,85.99
F,51,2008,86.92
F,51,2009,87.11
F,51,2010,86.88
F,51,2011,86.63
F,51,2012,85.92
F,51,2013,85.97
F,51,2014,87.41
F,52,2001,83.42
F,52,2002,85.62
F,52,2003,84.87
F,52,2004,85.02
F,52,2005,84.70
F,52,2006,85.19
F,52,2007,86.14
F,52,2008,85.95
F,52,2009,86.46
F,52,2010,85.75
F,52,2011,87.43
F,52,2012,86.10
F,52,2013,87.27
F,52,2014,87.68
F,53,2001,83.48
F,53,2002,84.87
F,53,2003,85.77
F,53,2004,85.58
F,53,2005,85.40
F,53,2006,86.16
F,53,2007,85.86
F,53,2008,86.16
F,53,2009,86.16
F,53,2010,86.98
F,53,2011,86.80
F,53,2012,86.71
F,53,2013,86.79
F,53,2014,87.49
F,54,2001,84.75
F,54,2002,85.53
F,54,2003,84.39
F,54,2004,84.74
F,54,2005,85.38
F,54,2006,86.35
F,54,2007,86.01
F,54,2008,86.71
F,54,2009,85.96
F,54,2010,86.20
F,54,2011,86.67
F,54,2012,86.62
F,54,2013,87.21
F,54,2014,87.16
F,55,2001,84.48
F,55,2002,84.58
F,55,2003,85.04
F,55,2004,84.92
F,55,2005,85.12
F,55,2006,85.72
F,55,2007,85.24
F,55,2008,86.54
F,55,2009,86.53
F,55,2010,87.35
F,55,2011,86.89
F,55,2012,86.53
F,55,2013,86.76
F,55,2014,86.41
F,56,2001,83.81
F,56,2002,83.86
F,56,2003,85.55
F,56,2004,84.92
F,56,2005,85.58
F,56,2006,85.83
F,56,2007,86.82
F,56,2008,86.60
F,56,2009,86.91
F,56,2010,86.73
F,56,2011,87.32
F,56,2012,87.50
F,56,2013,86.37
F,56,2014,86.75
F,57,2001,83.44
F,57,2002,86.57
F,57,2003,84.50
F,57,2004,84.58
F,57,2005,85.45
F,57,2006,86.73
F,57,2007,86.95
F,57,2008,86.48
F,57,2009,87.17
F,57,2010,86.47
F,57,2011,86.71
F,57,2012,87.31
F,57,2013,86.53
F,57,2014,87.62
F,58,2001,84.16
F,58,2002,84.73
F,58,2003,84.96
F,58,2004,84.43
F,58,2005,85.29
F,58,2006,84.95
F,58,2007,85.76
F,58,2008,86.82
F,58,2009,86.03
F,58,2010,88.10
F,58,2011,86.97
F,58,2012,87.86
F,58,2013,88.20
F,58,2014,87.87
F,59,2001,85.11
F,59,2002,85.06
F,59,2003,84.97
F,59,2004,85.23
F,59,2005,85.60
F,59,2006,86.55
F,59,2007,86.84
F,59,2008,88.03
F,59,2009,87.25
F,59,2010,86.90
F,59,2011,87.75
F,59,2012,87.15
F,59,2013,86.97
F,59,2014,87.25
F,60,2001,83.75
F,60,2002,84.39
F,60,2003,83.81
F,60,2004,85.84
F,60,2005,85.16
F,60,2006,85.35
F,60,2007,86.98
F,60,2008,86.25
F,60,2009,87.08
F,60,2010,86.36
F,60,2011,87.28
F,60,2012,87.03
F,60,2013,87.59
F,60,2014,86.63
F,61,2001,83.60
F,61,2002,85.28
F,61,2003,85.20
F,61,2004,86.83
F,61,2005,86.56
F,61,2006,86.36
F,61,2007,86.89
F,61,2008,86.81
F,61,2009,85.98
F,61,2010,87.20
F,61,2011,87.99
F,61,2012,86.91
F,61,2013,87.10
F,61,2014,87.23
F,62,2001,85.69
F,62,2002,85.78
F,62,2003,85.80
F,62,2004,85.74
F,62,2005,86.51
F,62,2006,85.64
F,62,2007,86.89
F,62,2008,87.54
F,62,2009,86.96
F,62,2010,87.83
F,62,2011,86.80
F,62,2012,86.76
F,62,2013,87.57
F,62,2014,87.24
F,63,2001,84.01
F,63,2002,85.25
F,63,2003,86.49
F,63,2004,84.65
F,63,2005,85.78
F,63,2006,85.55
F,63,2007,87.50
F,63,2008,87.45
F,63,2009,87.59
F,63,2010,88.52
F,63,2011,88.14
F,63,2012,87.56
F,63,2013,88.24
F,63,2014,88.03
F,64,2001,84.44
F,64,2002,84.46
F,64,2003,85.52
F,64,2004,85.74
F,64,2005,86.64
F,64,2006,87.63
F,64,2007,86.12
F,64,2008,86.66
F,64,2009,87.45
F,64,2010,86.43
F,64,2011,88.58
F,64,2012,86.94
F,64,2013,88.89
F,64,2014,87.83
F,65,2001,84.09
F,65,2002,84.76
F,65,2003,85.50
F,65,2004,84.03
F,65,2005,84.13
F,65,2006,85.98
F,65,2007,86.59
F,65,2008,86.62
F,65,2009,87.74
F,65,2010,87.07
F,65,2011,87.56
F,65,2012,88.19
F,65,2013,87.16
F,65,2014,87.95
F,66,2001,85.85
F,66,2002,85.37
F,66,2003,85.97
F,66,2004,86.48
F,66,2005,86.73
F,66,2006,87.43
F,66,2007,86.18
F,66,2008,86.84
F,66,2009,87.34
F,66,2010,88.24
F,66,2011,86.89
F,66,2012,86.78
F,66,2013,87.43
F,66,2014,87.92
F,67,2001,85.76
F,67,2002,84.29
F,67,2003,83.56
F,67,2004,86.07
F,67,2005,86.90
F,67,2006,86.16
F,67,2007,86.53
F,67,2008,86.97
F,67,2009,86.62
F,67,2010,86.97
F,67,2011,87.90
F,67,2012,86.50
F,67,2013,88.71
F,67,2014,87.12
F,68,2001,84.03
F,68,2002,82.97
F,68,2003,85.84
F,68,2004,84.42
F,68,2005,86.33
F,68,2006,86.60
F,68,2007,86.60
F,68,2008,88.02
F,68,2009,87.77
F,68,2010,87.48
F,68,2011,86.98
F,68,2012,88.49
F,68,2013,86.95
F,68,2014,88.11
F,69,2001,86.06
F,69,2002,84.68
F,69,2003,84.51
F,69,2004,85.61
F,69,2005,86.11
F,69,2006,85.54
F,69,2007,86.85
F,69,2008,87.62
F,69,2009,86.64
F,69,2010,88.17
F,69,2011,88.15
F,69,2012,87.44
F,69,2013,88.55
F,69,2014,88.55
F,70,2001,84.61
